probeID;probesetid;sequencesourceid;GeneSymbol;GeneName;wilcox.pvalue;FoldChange;wilcox.pvalue.ubc;FoldChange.ubc;FDR.wilcox.ubc;wilcox.pvalue.grng;FoldChange.grng;FDR.wilcox.grng;X7_HighlyReproducedProbeSets_Bonferroni;X599_ReproducedProbeSets_FDR;Laval_clusters;UBC_clusters;GRNG_clusters
X100121822_TGI_at;100121822_TGI_at;AL834529;LRRK2;leucine-rich repeat kinase 2;0,00000000433000000000;1,473529866;0,009906539;1,146157282;0,024522868;9,98E-05;1,624929257;0,003183838;0;1;U2;U1;U1
X100121823_TGI_at;100121823_TGI_at;AF186252;SULT1C2;sulfotransferase family, cytosolic, 1C, member 2;0,00000000034900000000;1,98343661;0,007445908;1,347607711;0,019965193;0,001370872;1,889036542;0,011387427;0;1;U6;U1;U1
X100121830_TGI_at;100121830_TGI_at;AW117463;PKD1L1;polycystic kidney disease 1 like 1;0,00000002560000000000;1,270142405;4,59E-05;1,268792424;0,000649151;0,011420211;1,17871334;0,043251869;0;1;U2;U2;U1
X100121858_TGI_at;100121858_TGI_at;AK123835;C6orf138;chromosome 6 open reading frame 138;0,00000001280000000000;1,429967699;2,79E-05;1,400476572;0,000479188;0,27411466;1,138124021;0,411866186;0;0;NA;NA;NA
X100121861_TGI_at;100121861_TGI_at;NM_145918;CTSL1;cathepsin L1;0,00000040200000000000;1,251146767;0,029725907;1,120309661;0,054809267;0,039719764;1,124969715;0,101661999;0;0;NA;NA;NA
X100121871_TGI_at;100121871_TGI_at;NM_006646;WASF3;WAS protein family, member 3;0,00000000037100000000;0,666298283;0,234395156;0,930635833;0,283048178;0,648925345;0,964251048;0,755321916;0;0;NA;NA;NA
X100121873_TGI_at;100121873_TGI_at;U12778;ACADSB;acyl-Coenzyme A dehydrogenase, short/branched chain;0,00000000068900000000;1,505393327;6,84E-05;1,281988495;0,000819872;0,039719764;1,272761732;0,101661999;0;0;NA;NA;NA
X100121877_TGI_at;100121877_TGI_at;NM_001012507;C6orf173;chromosome 6 open reading frame 173;0,00000000001390000000;1,452940421;0,000104188;1,281814667;0,00106414;0,284058212;1,125085147;0,421122179;0;0;NA;NA;NA
X100121883_TGI_at;100121883_TGI_at;NM_198516;GALNTL4;UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 4;0,00000055800000000000;0,766365709;0,006385541;0,836035302;0,017849609;0,927501324;1,010841047;0,959350695;0;0;NA;NA;NA
X100121915_TGI_at;100121915_TGI_at;NM_018242;SLC47A1;solute carrier family 47, member 1;0,00000000459000000000;1,610829221;0,012772842;1,276966205;0,029342032;0,000276376;1,665057373;0,004763426;0;1;U2;U1;U1
X100121956_TGI_at;100121956_TGI_at;ENST00000319246;DDHD2;DDHD domain containing 2;0,00000000003670000000;0,8259284;0,858100505;0,995583001;0,870525001;0,026197762;0,926081793;0,076620133;0;0;NA;NA;NA
X100121973_TGI_at;100121973_TGI_at;NM_032814;RNFT2;ring finger protein, transmembrane 2;0,00000032800000000000;1,396780735;0,001175193;1,257743086;0,005372547;0,642406094;1,019321272;0,75262626;0;0;NA;NA;NA
X100121985_TGI_at;100121985_TGI_at;NM_033168;B3GALNT1;beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group);0,00000000012800000000;0,659224887;0,001930734;0,828235825;0,007817533;0,041415229;0,819764561;0,104282253;0;0;NA;NA;NA
X100121991_TGI_at;100121991_TGI_at;NM_001005377;PLAUR;plasminogen activator, urokinase receptor;0,00000000011300000000;1,75943243;0,000296404;1,44142522;0,002104205;0,012010459;1,518985625;0,044912263;0;1;U4;U3;U1
X100121996_TGI_at;100121996_TGI_at;AK093136;KIAA1919;KIAA1919;0,00000000248000000000;1,330902602;0,035970005;1,112558459;0,063109051;0,57904816;1,047005839;0,700552635;0;0;NA;NA;NA
X100122001_TGI_at;100122001_TGI_at;NM_002986;CCL11;chemokine (C-C motif) ligand 11;0,00000009750000000000;1,821136551;0,003561399;1,477275229;0,011857838;0,215347198;1,281206699;0,344448645;0;0;NA;NA;NA
X100122004_TGI_at;100122004_TGI_at;NM_014879;P2RY14;purinergic receptor P2Y, G-protein coupled, 14;0,00000030600000000000;0,787254698;0,298522576;0,948199718;0,347970438;0,452969134;0,983427644;0,589390197;0;0;NA;NA;NA
X100122019_TGI_at;100122019_TGI_at;NM_000399;EGR2;early growth response 2 (Krox-20 homolog, Drosophila);0,00000009190000000000;1,696474019;0,001172128;1,453255566;0,005372547;0,149505026;1,470593761;0,264174725;0;0;NA;NA;NA
X100122026_TGI_at;100122026_TGI_at;ENST00000357508;NCRNA00082;non-protein coding RNA 82;0,00000000003120000000;1,656750977;0,458867798;1,053300797;0,501502513;0,993400377;1,041092901;0,995253159;0;0;NA;NA;NA
X100122038_TGI_at;100122038_TGI_at;NM_001910;CTSE;cathepsin E;0,00000000296000000000;1,86954103;0,110091487;1,316442655;0,151053581;0,127027071;1,585441725;0,235834246;0;0;NA;NA;NA
X100122077_TGI_at;100122077_TGI_at;BC146799;EML4;echinoderm microtubule associated protein like 4;0,00000000000000855000;1,632138187;0,006011579;1,19529301;0,017070766;0,014643299;1,269819586;0,051467124;0;0;NA;NA;NA
X100122107_TGI_at;100122107_TGI_at;NM_144682;SLFN13;schlafen family member 13;0,00000028600000000000;0,819084294;0,011637059;0,869992144;0,027277267;0,118794011;0,856007707;0,224033409;0;0;NA;NA;NA
X100122114_TGI_at;100122114_TGI_at;ENST00000355167;EYA4;eyes absent homolog 4 (Drosophila);0,00000017700000000000;0,624041838;0,00514105;0,725823244;0,015413584;0,077689446;0,738987229;0,166153341;0;0;NA;NA;NA
X100122133_TGI_at;100122133_TGI_at;DQ890878;CYBB;cytochrome b-245, beta polypeptide;0,00000000000000208000;2,329672001;8,70E-06;1,603160137;0,000257344;0,000174604;1,821661194;0,004028419;0;1;U6;U2;U1
X100122178_TGI_at;100122178_TGI_at;NM_000715;C4BPA;complement component 4 binding protein, alpha;0,00000000006760000000;1,629087064;0,003688611;1,233527627;0,01215582;1,03E-06;1,901074089;0,00066272;0;1;U7;U2;U2
X100122215_TGI_at;100122215_TGI_at;NM_206900;RTN2;reticulon 2;0,00000000534000000000;1,41240264;0,204592141;1,079061731;0,253615565;0,000276376;1,570858011;0,004763426;0;0;NA;NA;NA
X100122237_TGI_at;100122237_TGI_at;NM_021871;FGA;fibrinogen alpha chain;0,00000000000141000000;5,680890806;4,77E-05;3,247005067;0,000659239;0,000703777;3,142712179;0,007741543;0;1;U6;U2;U1
X100122239_TGI_at;100122239_TGI_at;NM_014640;TTLL4;tubulin tyrosine ligase-like family, member 4;0,00000000863000000000;1,290194231;0,246441107;1,059794344;0,295271259;0,315219134;1,038967408;0,454361033;0;0;NA;NA;NA
X100122240_TGI_at;100122240_TGI_at;NM_004181;UCHL1;ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase);0,00000000006110000000;2,084638262;0,001199051;1,546321932;0,005450693;0,031930775;1,283571481;0,088319445;0;0;NA;NA;NA
X100122259_TGI_at;100122259_TGI_at;NM_015920;RPS27L;ribosomal protein S27-like;0,00000000000114000000;1,400620739;0,010443828;1,16209854;0,025365831;0,000371641;1,33010104;0,00537129;0;1;U3;U1;U1
X100122272_TGI_at;100122272_TGI_at;NM_001181;ASGR2;asialoglycoprotein receptor 2;0,00000030100000000000;1,552351613;0,42047434;1,115581226;0,466020907;0,033503156;1,294581662;0,091046096;0;0;NA;NA;NA
X100122276_TGI_at;100122276_TGI_at;NM_005539;INPP5A;inositol polyphosphate-5-phosphatase, 40kDa;0,00000000000134000000;0,801243047;0,000667146;0,878402864;0,003711391;0,012460483;0,891159496;0,046447382;0;1;D2;D1;D1
X100122296_TGI_at;100122296_TGI_at;NM_001003803;ATP5S;ATP synthase, H+ transporting, mitochondrial F0 complex, subunit s (factor B);0,00000000028400000000;1,270065539;0,060672489;1,076988042;0,095249602;0,003371616;1,209170929;0,019650484;0;0;NA;NA;NA
X100122312_TGI_at;100122312_TGI_at;NM_001081976;ADORA3;adenosine A3 receptor;0,00000000000000045700;3,115615004;0,002325633;1,747834141;0,008756443;0,039719764;1,627299803;0,101661999;0;0;NA;NA;NA
X100122317_TGI_at;100122317_TGI_at;AY358204;TMEM92;transmembrane protein 92;0,00000000032800000000;1,483252197;0,000945553;1,25422772;0,004645604;7,19E-06;1,748489154;0,001159269;0;1;U2;U1;U2
X100122330_TGI_at;100122330_TGI_at;AI097119;RDH10;retinol dehydrogenase 10 (all-trans);0,00000002610000000000;1,447172306;0,000376562;1,291002658;0,002487007;0,284058212;1,162394839;0,421122179;0;0;NA;NA;NA
X100122332_TGI_at;100122332_TGI_at;NM_032552;DAB2IP;DAB2 interacting protein;0,00000000734000000000;0,829130728;0,000570407;0,876796318;0,003330477;0,083453505;1,124394899;0,17510994;0;0;NA;NA;NA
X100122336_TGI_at;100122336_TGI_at;NM_001531;MR1;major histocompatibility complex, class I-related;0,00000000000042600000;1,58100428;4,22E-06;1,287257338;0,00015806;2,28E-05;1,42569783;0,001749595;0;1;U2;U3;U1
X100122341_TGI_at;100122341_TGI_at;NM_144707;PROM2;prominin 2;0,00000000420000000000;1,302845336;0,588312588;1,061806985;0,622498841;0,635603663;0,995700557;0,747431382;0;0;NA;NA;NA
X100122375_TGI_at;100122375_TGI_at;NM_006832;FERMT2;fermitin family homolog 2 (Drosophila);0,00000000085600000000;0,829406942;0,000144442;0,897679217;0,001291564;0,064330368;0,909311944;0,144788251;0;0;NA;NA;NA
X100122391_TGI_at;100122391_TGI_at;NM_005949;MT1F;metallothionein 1F;0,00000000135000000000;1,440481796;1,98E-05;1,332264406;0,000387055;0,005143125;1,604938049;0,025423759;0;1;U5;U3;U1
X100122400_TGI_at;100122400_TGI_at;NM_133265;AMOT;angiomotin;0,00000001930000000000;0,784355212;0,020725238;0,875023054;0,042010971;0,028121921;0,805997276;0,080853658;0;0;NA;NA;NA
X100122413_TGI_at;100122413_TGI_at;CR738950;;;0,00000004450000000000;0,777120754;0,286177229;1,049941998;0,335399713;0,940656418;1,00875612;0,965520903;0;0;NA;NA;NA
X100122440_TGI_at;100122440_TGI_at;NM_001747;CAPG;capping protein (actin filament), gelsolin-like;0,00000000000062900000;1,592376559;0,00088411;1,213576137;0,004487371;0,00012425;1,498420473;0,003628771;0;1;U3;U1;U1
X100122450_TGI_at;100122450_TGI_at;BC018396;KIAA0408;KIAA0408;0,00000004960000000000;0,746677454;0,208657465;0,926588512;0,257879934;0,03650134;1,380638385;0,096439395;0;0;NA;NA;NA
X100122464_TGI_at;100122464_TGI_at;ENST00000312002;WDFY4;WDFY family member 4;0,00000014400000000000;1,289207707;0,007800348;1,137553147;0,020691786;0,000429707;1,27000628;0,005893387;0;1;U4;U1;U1
X100122466_TGI_at;100122466_TGI_at;AK055032;RAP1GDS1;RAP1, GTP-GDP dissociation stimulator 1;0,00000000010100000000;1,224565323;0,359317082;1,026041661;0,406628847;0,046244403;1,111117363;0,113775352;0;0;NA;NA;NA
X100122468_TGI_at;100122468_TGI_at;ENST00000290607;STARD9;StAR-related lipid transfer (START) domain containing 9;0,00000000000007880000;0,679241958;0,000613804;0,854012249;0,003505988;0,083615947;0,849675075;0,17510994;0;0;NA;NA;NA
X100122470_TGI_at;100122470_TGI_at;AK123325;RGS12;regulator of G-protein signaling 12;0,00000120000000000000;1,400894987;0,001379;1,240942779;0,006118008;0,502203015;1,123572985;0,637495201;0;0;NA;NA;NA
X100122494_TGI_at;100122494_TGI_at;BM991750;;;0,00000023600000000000;0,663765338;0,515477483;0,982907456;0,554501919;0,080609435;0,728646667;0,170587136;0;0;NA;NA;NA
X100122505_TGI_at;100122505_TGI_at;NM_052941;GBP4;guanylate binding protein 4;0,00000000009650000000;0,627683141;0,003969839;0,764415055;0,012743815;0,993400377;0,952614834;0,995253159;0;0;NA;NA;NA
X100122520_TGI_at;100122520_TGI_at;CN368271;UBE2F;ubiquitin-conjugating enzyme E2F (putative);0,00000000000000456000;1,346629682;0,504583157;1,022886208;0,544085485;0,08994195;1,099987806;0,184145191;0;0;NA;NA;NA
X100122557_TGI_at;100122557_TGI_at;NM_006449;CDC42EP3;CDC42 effector protein (Rho GTPase binding) 3;0,00000000055500000000;1,23756881;0,000791659;1,146003085;0,004196572;0,951948154;0,986753109;0,974385319;0;0;NA;NA;NA
X100122583_TGI_at;100122583_TGI_at;AK023660;;;0,00000001680000000000;1,361875823;0,033903593;1,118347335;0,059973261;0,980202899;1,022486423;0,987556719;0;0;NA;NA;NA
X100122603_TGI_at;100122603_TGI_at;NM_014848;SV2B;synaptic vesicle glycoprotein 2B;0,00000005400000000000;1,48836005;0,002000343;1,329504284;0,007988979;0,450742398;1,07173201;0,587204022;0;0;NA;NA;NA
X100122612_TGI_at;100122612_TGI_at;AB072905;FOXO3;forkhead box O3;0,00000031400000000000;0,825262216;0,013682879;0,896132903;0,030731651;0,534478464;1,036943842;0,664336324;0;0;NA;NA;NA
X100122613_TGI_at;100122613_TGI_at;NM_001001994;GPM6B;glycoprotein M6B;0,00000000010300000000;0,714131886;0,024715872;0,854286872;0,047757347;0,470967706;0,937426577;0,606928795;0;0;NA;NA;NA
X100122642_TGI_at;100122642_TGI_at;NM_020353;PLSCR4;phospholipid scramblase 4;0,00000046000000000000;0,768144238;0,299436944;0,951976228;0,348775163;0,221636126;0,896395221;0,351888292;0;0;NA;NA;NA
X100122687_TGI_at;100122687_TGI_at;BX647782;NUTF2;nuclear transport factor 2;0,00000000435000000000;0,772639116;0,00270207;0,869440353;0,00973047;0,91266668;1,029987748;0,951873502;0;0;NA;NA;NA
X100122693_TGI_at;100122693_TGI_at;NM_024709;C1orf115;chromosome 1 open reading frame 115;0,00000000778000000000;0,742931639;0,002460776;0,824650334;0,00913719;0,924555569;0,986997235;0,959350695;0;0;NA;NA;NA
X100122703_TGI_at;100122703_TGI_at;NM_198859;PRICKLE2;prickle homolog 2 (Drosophila);0,00000000092800000000;0,774817736;0,00030297;0,86237325;0,002128165;0,823248705;0,984838701;0,88918585;0;0;NA;NA;NA
X100122806_TGI_at;100122806_TGI_at;AI862445;TNFAIP2;tumor necrosis factor, alpha-induced protein 2;0,00000005100000000000;1,324426859;0,20250426;1,095616347;0,251403866;0,01262694;1,307775528;0,046447382;0;0;NA;NA;NA
X100122813_TGI_at;100122813_TGI_at;NM_002754;MAPK13;mitogen-activated protein kinase 13;0,00000000006790000000;1,411928048;0,190768785;1,085630255;0,239054352;3,28E-05;1,521223618;0,001805101;0;0;NA;NA;NA
X100122823_TGI_at;100122823_TGI_at;NM_004573;PLCB2;phospholipase C, beta 2;0,00000000089200000000;1,394924289;0,004189615;1,158782996;0,013225397;0,026896706;1,226496635;0,078167794;0;0;NA;NA;NA
X100122831_TGI_at;100122831_TGI_at;AY305384;ASAH1;N-acylsphingosine amidohydrolase (acid ceramidase) 1;0,00000021300000000000;1,315771134;0,001815764;1,188562292;0,007499003;0,001221875;1,556758877;0,010701369;0;1;U1;U1;U1
X100122838_TGI_at;100122838_TGI_at;CF553052;;;0,00000000000000037200;1,767348582;3,66E-05;1,304740838;0,000569809;0,006617028;1,209323466;0,030122431;0;1;U2;U1;U1
X100122843_TGI_at;100122843_TGI_at;NM_004612;TGFBR1;transforming growth factor, beta receptor 1;0,00000014400000000000;1,329612085;0,008237955;1,119629561;0,021498728;0,228052747;1,121133499;0,35942005;0;0;NA;NA;NA
X100122844_TGI_at;100122844_TGI_at;BM671447;;;0,00000017200000000000;0,828040861;0,33002996;0,955367171;0,378132443;0,221636126;0,879587511;0,351888292;0;0;NA;NA;NA
X100122883_TGI_at;100122883_TGI_at;NM_002350;LYN;v-yes-1 Yamaguchi sarcoma viral related oncogene homolog;0,00000000202000000000;1,284997402;0,009815311;1,129851376;0,024390708;0,00023763;1,401095753;0,004452797;0;1;U5;U2;U1
X100122908_TGI_at;100122908_TGI_at;BC036424;;;0,00000000271000000000;1,229706442;0,000765107;1,144665593;0,004123647;0,052890615;1,1335375;0,126177982;0;0;NA;NA;NA
X100122909_TGI_at;100122909_TGI_at;ENST00000372244;TMEM53;transmembrane protein 53;0,00000000030700000000;1,350871048;0,1850597;1,083657608;0,23298727;0,001003293;1,342482372;0,009400035;0;0;NA;NA;NA
X100122923_TGI_at;100122923_TGI_at;NM_198474;OLFML1;olfactomedin-like 1;0,00000064600000000000;0,815995612;0,344634911;0,952606133;0,39221692;0,734410047;1,0399178;0,82359206;0;0;NA;NA;NA
X100122954_TGI_at;100122954_TGI_at;BC047481;;hypothetical LOC401022;0,00000085000000000000;1,21465638;0,026629163;1,146166602;0,050455025;0,000146987;1,708320476;0,003847048;0;0;NA;NA;NA
X100122967_TGI_at;100122967_TGI_at;NM_001002901;FCRLB;Fc receptor-like B;0,00000000005690000000;1,905700964;1,56E-05;1,50784343;0,000343627;0,086693301;1,224258751;0,179491513;0;0;NA;NA;NA
X100122975_TGI_at;100122975_TGI_at;AJ238994;ADAP2;ArfGAP with dual PH domains 2;0,00000126000000000000;1,306843657;0,739593162;1,013523363;0,762298932;0,020452962;1,313540247;0,064249412;0;0;NA;NA;NA
X100123033_TGI_at;100123033_TGI_at;NM_000923;PDE4C;phosphodiesterase 4C, cAMP-specific (phosphodiesterase E1 dunce homolog, Drosophila);0,00000022600000000000;1,61860764;0,030190519;1,297709533;0,055254992;0,007886168;1,551029241;0,034341403;0;0;NA;NA;NA
X100123038_TGI_at;100123038_TGI_at;NM_000459;TEK;TEK tyrosine kinase, endothelial;0,00000000000554000000;0,700221438;0,003020068;0,860933011;0,0105686;0,348497017;0,907703605;0,486868611;0;0;NA;NA;NA
X100123040_TGI_at;100123040_TGI_at;NM_001098497;SGSM1;small G protein signaling modulator 1;0,00000005380000000000;0,77144379;0,260366709;0,933766081;0,309539618;0,357146031;0,930901676;0,494450884;0;0;NA;NA;NA
X100123064_TGI_at;100123064_TGI_at;L26985;CYP3A5;cytochrome P450, family 3, subfamily A, polypeptide 5;0,00000109000000000000;0,709765634;0,074246935;0,839988966;0,111406886;0,849099163;1,021965559;0,906474529;0;0;NA;NA;NA
X100123070_TGI_at;100123070_TGI_at;NM_005392;PHF2;PHD finger protein 2;0,00000000002890000000;0,830051289;0,091972423;0,972839447;0,131862597;0,939476698;1,00788582;0,965520903;0;0;NA;NA;NA
X100123110_TGI_at;100123110_TGI_at;NM_002627;PFKP;phosphofructokinase, platelet;0,00000063200000000000;1,294895129;0,635540939;1,036322984;0,66895769;0,276598639;0,918775591;0,413486741;0;0;NA;NA;NA
X100123115_TGI_at;100123115_TGI_at;NM_003601;SMARCA5;SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5;0,00000000660000000000;1,298755693;0,004146518;1,096574121;0,013127926;0,03650134;1,214514976;0,096439395;0;0;NA;NA;NA
X100123132_TGI_at;100123132_TGI_at;NM_004673;ANGPTL1;angiopoietin-like 1;0,00000000055400000000;0,679862574;0,001381914;0,792186432;0,006118008;0,093170847;0,852187316;0,188856657;0;0;NA;NA;NA
X100123138_TGI_at;100123138_TGI_at;NM_203304;MEX3D;mex-3 homolog D (C. elegans);0,00000003860000000000;0,820235156;0,664135402;0,978782136;0,694294;0,63704437;0,93706541;0,747431382;0;0;NA;NA;NA
X100123145_TGI_at;100123145_TGI_at;ENST00000369579;BCL2L15;BCL2-like 15;0,00000001650000000000;1,318151611;0,511926975;1,035193716;0,551450749;0,967010726;0,916755436;0,980394958;0;0;NA;NA;NA
X100123150_TGI_at;100123150_TGI_at;NM_001013836;MAD1L1;MAD1 mitotic arrest deficient-like 1 (yeast);0,00000126000000000000;1,285684313;0,325938151;1,025744548;0,373976027;0,00053236;1,35518893;0,006649296;0;0;NA;NA;NA
X100123156_TGI_at;100123156_TGI_at;NM_004049;BCL2A1;BCL2-related protein A1;0,00000000000009760000;1,842250497;0,000786994;1,282784159;0,004185615;0,010244574;1,362396117;0,040961273;0;1;U2;U2;U1
X100123193_TGI_at;100123193_TGI_at;NM_021021;SNTB1;syntrophin, beta 1 (dystrophin-associated protein A1, 59kDa, basic component 1);0,00000000000000391000;1,609217856;0,040030079;1,135991372;0,068553105;2,18E-05;1,479037083;0,001749595;0;0;NA;NA;NA
X100123204_TGI_at;100123204_TGI_at;NM_013267;GLS2;glutaminase 2 (liver, mitochondrial);0,00000000000246000000;1,536589194;0,000289567;1,301562334;0,002072229;0,021756187;1,39451915;0,067164932;0;0;NA;NA;NA
X100123296_TGI_at;100123296_TGI_at;AK055335;;;0,00000000128000000000;0,756307516;0,000709947;0,830968063;0,003904708;0,328995653;0,900497193;0,470431672;0;0;NA;NA;NA
X100123301_TGI_at;100123301_TGI_at;CA314541;GPR110;G protein-coupled receptor 110;0,00000000000000035700;2,735338906;1,69E-06;1,998149527;9,22E-05;0,004862758;1,841786688;0,024374289;0;1;U7;U1;U1
X100123323_TGI_at;100123323_TGI_at;NM_000299;PKP1;plakophilin 1 (ectodermal dysplasia/skin fragility syndrome);0,00000005320000000000;0,608673435;1,68E-05;0,657054483;0,000356071;0,002687123;0,609319771;0,017251748;0;1;D2;D2;D1
X100123362_TGI_at;100123362_TGI_at;NM_030760;S1PR5;sphingosine-1-phosphate receptor 5;0,00000025400000000000;0,632213648;0,070638801;0,801315927;0,107492378;0,127936269;0,796217181;0,236568327;0;0;NA;NA;NA
X100123369_TGI_at;100123369_TGI_at;NM_023068;SIGLEC1;sialic acid binding Ig-like lectin 1, sialoadhesin;0,00000000158000000000;1,621440635;0,001886216;1,304274606;0,007662265;0,004386492;1,531370667;0,022988073;0;1;U4;U1;U1
X100123380_TGI_at;100123380_TGI_at;NM_031286;SH3BGRL3;SH3 domain binding glutamic acid-rich protein like 3;0,00000042300000000000;1,205445895;0,143862073;1,044718446;0,187795651;0,007170261;1,217424593;0,031919548;0;0;NA;NA;NA
X100123410_TGI_at;100123410_TGI_at;N92876;;;0,00000000014600000000;0,628647595;0,056843276;0,846460213;0,09060627;0,613556941;0,888866495;0,727019861;0;0;NA;NA;NA
X100123417_TGI_at;100123417_TGI_at;NM_015346;ZFYVE26;zinc finger, FYVE domain containing 26;0,00000002210000000000;1,251863078;0,033014488;1,098175764;0,058873378;0,20948725;1,095222877;0,337419993;0;0;NA;NA;NA
X100123437_TGI_at;100123437_TGI_at;NM_016931;NOX4;NADPH oxidase 4;0,00000000924000000000;0,741335623;0,739856397;1,059951773;0,76232646;0,053765992;0,777647193;0,127699182;0;0;NA;NA;NA
X100123443_TGI_at;100123443_TGI_at;BF432251;CDH13;cadherin 13, H-cadherin (heart);0,00000004560000000000;0,691424292;0,314781435;0,916939796;0,364026036;0,142561501;0,771621672;0,256260858;0;0;NA;NA;NA
X100123446_TGI_at;100123446_TGI_at;NM_032206;NLRC5;NLR family, CARD domain containing 5;0,00000040400000000000;0,773020988;0,000393156;0,805646326;0,002575494;0,154336744;0,894116922;0,270635106;0;0;NA;NA;NA
X100123464_TGI_at;100123464_TGI_at;ENST00000296289;TKT;transketolase;0,00000001080000000000;1,419695761;0,366983454;1,055667585;0,414141342;0,002131763;1,409372647;0,014968787;0;0;NA;NA;NA
X100123493_TGI_at;100123493_TGI_at;NM_198212;CAV2;caveolin 2;0,00000000000055800000;0,761892588;0,106155966;0,935366032;0,147347407;0,323340368;1,132495373;0,462755775;0;0;NA;NA;NA
X100123614_TGI_at;100123614_TGI_at;NM_181784;SPRED2;sprouty-related, EVH1 domain containing 2;0,00000000202000000000;0,79447343;0,22136805;0,943205573;0,270566211;0,980202899;1,011317644;0,987556719;0;0;NA;NA;NA
X100123618_TGI_at;100123618_TGI_at;BC041400;;;0,00000000306000000000;0,767701136;0,008807054;0,817737009;0,022492182;0,746919855;1,076580113;0,832983631;0;0;NA;NA;NA
X100123640_TGI_at;100123640_TGI_at;NM_014266;HCST;hematopoietic cell signal transducer;0,00000000009960000000;1,437732597;0,002377754;1,184058616;0,008880071;0,000320802;1,42861708;0,005118537;0;1;U2;U1;U1
X100123645_TGI_at;100123645_TGI_at;NM_006774;INMT;indolethylamine N-methyltransferase;0,00000000172000000000;0,801074117;0,000147817;0,811423229;0,001312437;0,079431373;0,921078429;0,169766123;0;0;NA;NA;NA
