"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"C11orf75","Previous symbol","SMCO4","single-pass membrane protein with coiled-coil domains 4","HGNC:24810","11q21"
"HTT","Previous symbol","SLC6A4","solute carrier family 6 member 4","HGNC:11050","17q11.2"
"DPCR1","Previous symbol","MUCL3","mucin like 3","HGNC:21666","6p21.33"
"AIM1","Previous symbol","CRYBG1","crystallin beta-gamma domain containing 1","HGNC:356","6q21"
"MAGI1","Previous symbol","CNKSR3","CNKSR family member 3","HGNC:23034","6q25.2"
"FAM82B","Previous symbol","RMDN1","regulator of microtubule dynamics 1","HGNC:24285","8q21.3"
"MLLT4","Previous symbol","AFDN","afadin, adherens junction formation factor","HGNC:7137","6q27"
"FAM152B","Previous symbol","DESI1","desumoylating isopeptidase 1","HGNC:24577","22q13.2"
"C8orf79","Previous symbol","TRMT9B","tRNA methyltransferase 9B (putative)","HGNC:26725","8p22"
"KIAA0368","Previous symbol","ECPAS","Ecm29 proteasome adaptor and scaffold","HGNC:29020","9q31.3"
"KIAA0427","Previous symbol","CTIF","cap binding complex dependent translation initiation factor","HGNC:23925","18q21.1"
"KIAA1377","Previous symbol","CEP126","centrosomal protein 126","HGNC:29264","11q22.1"
"CDC45L","Previous symbol","CDC45","cell division cycle 45","HGNC:1739","22q11.21"
"H3F3B","Previous symbol","H3-3B","H3.3 histone B","HGNC:4765","17q25.1"
"NTNG1","Previous symbol","NTNG2","netrin G2","HGNC:14288","9q34.13"
"C20orf160","Previous symbol","CCM2L","CCM2 like scaffold protein","HGNC:16153","20q11.21"
"KIAA1305","Previous symbol","NYNRIN","NYN domain and retroviral integrase containing","HGNC:20165","14q12"
"C6orf105","Previous symbol","ADTRP","androgen dependent TFPI regulating protein","HGNC:21214","6p24.1"
"TMEM133","Previous symbol","ARHGAP42","Rho GTPase activating protein 42","HGNC:26545","11q22.1"
"PCNXL2","Previous symbol","PCNX2","pecanex 2","HGNC:8736","1q42.2"
"C10orf58","Previous symbol","PRXL2A","peroxiredoxin like 2A","HGNC:28651","10q23.1"
"DUS2L","Previous symbol","DUS2","dihydrouridine synthase 2","HGNC:26014","16q22.1"
"M6PRBP1","Previous symbol","PLIN3","perilipin 3","HGNC:16893","19p13.3"
"TSTA3","Previous symbol","GFUS","GDP-L-fucose synthase","HGNC:12390","8q24.3"
"C19orf10","Previous symbol","MYDGF","myeloid derived growth factor","HGNC:16948","19p13.3"
"FAM49A","Previous symbol","CYRIA","CYFIP related Rac1 interactor A","HGNC:25373","2p24.2"
"C1orf97","Previous symbol","LINC00467","long intergenic non-protein coding RNA 467","HGNC:28227","1q32.3"
"TXNDC4","Previous symbol","ERP44","endoplasmic reticulum protein 44","HGNC:18311","9q31.1"
"FAM178A","Previous symbol","SLF2","SMC5-SMC6 complex localization factor 2","HGNC:17814","10q24.31"
"SRGAP2P1","Previous symbol","SRGAP2C","SLIT-ROBO Rho GTPase activating protein 2C","HGNC:30584","1p11.2"
"TMEM27","Previous symbol","CLTRN","collectrin, amino acid transport regulator","HGNC:29437","Xp22.2"
"C15orf23","Previous symbol","KNSTRN","kinetochore localized astrin (SPAG5) binding protein","HGNC:30767","15q15.1"
"CCDC48","Previous symbol","EFCC1","EF-hand and coiled-coil domain containing 1","HGNC:25692","3q21.3"
"EMR4P","Previous symbol","ADGRE4P","adhesion G protein-coupled receptor E4, pseudogene","HGNC:19240","19p13.2"
"OBFC2A","Previous symbol","NABP1","nucleic acid binding protein 1","HGNC:26232","2q32.3"
"GBA","Previous symbol","GBA1","glucosylceramidase beta 1","HGNC:4177","1q22"
"BAI3","Previous symbol","ADGRB3","adhesion G protein-coupled receptor B3","HGNC:945","6q12-q13"
"ZNF271","Previous symbol","ZNF271P","zinc finger protein 271, pseudogene","HGNC:13065","18q12.2"
"SFRS11","Previous symbol","SRSF11","serine and arginine rich splicing factor 11","HGNC:10782","1p31.1"
"ODZ3","Previous symbol","TENM3","teneurin transmembrane protein 3","HGNC:29944","4q34.3-q35.1"
"ODZ3","Previous symbol","TENM1","teneurin transmembrane protein 1","HGNC:8117","Xq25"
"TCF4","Previous symbol","TCF7L2","transcription factor 7 like 2","HGNC:11641","10q25.2-q25.3"
"TCEB2","Previous symbol","ELOB","elongin B","HGNC:11619","16p13.3"
"C12orf32","Previous symbol","RHNO1","RAD9-HUS1-RAD1 interacting nuclear orphan 1","HGNC:28206","12p13.33"
"LRRN1","Previous symbol","LRCH4","leucine rich repeats and calponin homology domain containing 4","HGNC:6691","7q22.1"
"C9orf97","Previous symbol","TSTD2","thiosulfate sulfurtransferase like domain containing 2","HGNC:30087","9q22.33"
"ATHL1","Previous symbol","PGGHG","protein-glucosylgalactosylhydroxylysine glucosidase","HGNC:26210","11p15.5"
"HN1","Previous symbol","JPT1","Jupiter microtubule associated homolog 1","HGNC:14569","17q25.1"
